f1,recall,precision
0.8629704108009945,0.8309820193637621,0.8975201673140125
0.861800346219928,0.8262793914246196,0.9005125113053964
0.859094790776614,0.8348547717842324,0.8847845206684257
0.8620788121068677,0.8351313969571231,0.8908232516966657
0.8615912012564638,0.8343015214384509,0.8907265209686946
0.8617769484708658,0.8304287690179807,0.8955847255369929
0.8622273249133927,0.8309820193637621,0.8959141067700567
0.8621575342460758,0.8356846473029046,0.8903625110521662
0.8623720997256861,0.8276625172890733,0.9001203369434416
0.8626389284691499,0.837344398340249,0.8895092565383486
0.8631189527598874,0.8390041493775934,0.8886610020509815
0.861271676300079,0.8243430152143845,0.9016641452344932
0.8623563218385811,0.83015214384509,0.8971599402092676
0.8634486686596171,0.8387275242047026,0.8896713615023474
0.8624141876425211,0.8340248962655602,0.892804264139769
0.8634875444834863,0.8390041493775934,0.8894428152492668
0.8609328198540148,0.8348547717842324,0.8886925795053003
0.8627733026462212,0.8295988934993085,0.8987114174408151
0.8629862700223838,0.8345781466113417,0.8933965057743559
0.8631368631363635,0.8365145228215768,0.8915094339622641
0.861103089806027,0.8248962655601659,0.9006342494714588
0.8610871440892333,0.8282157676348548,0.8966756513926325
0.8613348676634824,0.8282157676348548,0.8972130656278094
0.8599769982743714,0.8273858921161825,0.8952409458246035
0.862304409672331,0.8384508990318119,0.8875549048316251
0.8616884047579928,0.8315352697095436,0.8941106484235574
0.861636127542424,0.8260027662517289,0.9004825090470446
0.8621968616257485,0.8359612724757953,0.8901325478645066
0.8619451228266807,0.8298755186721992,0.8965929468021518
0.862330235882274,0.8343015214384509,0.8923076923076924
0.8629687722795518,0.8370677731673583,0.8905238375515009
0.8614017486020519,0.8312586445366529,0.8938132064247472
0.8609633357291916,0.8282157676348548,0.8964071856287426
0.8615516502352485,0.8340248962655602,0.8909574468085106
0.8621928437988973,0.8298755186721992,0.8971291866028708
0.8624641833805894,0.8326417704011065,0.8945022288261516
0.8620983793000406,0.8387275242047026,0.8868090084820123
0.8619548006328678,0.8282157676348548,0.8985594237695078
0.8622617170698748,0.8320885200553251,0.8947055324211779
0.8616045845267213,0.8318118948824343,0.8936106983655275
0.861921097769655,0.8340248962655602,0.8917480035492458
0.8620888632424322,0.8265560165975103,0.900813988543865
0.8616838487967514,0.8323651452282158,0.8931433659839715
